"UniProt_ID"	"Protein_Name"
"442"	"B0UXP9"	"Inosine-5'-monophosphate dehydrogenase"
"443"	"B0UXR2"	"Acyl-CoA thioesterase 7"
"444"	"B0UXW0"	"Novel protein similar to vertebrate phosphatidylinositol-4-phosphate 5-kinase, type II, alpha (PIP5K2A)"
"445"	"B0UY92"	"Solute carrier family 2 (Facilitated glucose transporter), member 2"
"446"	"B0UYB4"	"Novel protein similar to vertebrate cytochrome P450, family 27, subfamily A, polypeptide 1 (CYP27A1)"
"447"	"B0UYD6"	"Glutaminyl-tRNA synthetase"
"448"	"B0UYE9"	"Novel protein similar to glutamate receptor interacting protein 1 (GRIP1)"
"449"	"B0UYK4"	"Novel protein similar to vertebrate kinesin family member 5A (KIF5A) (Fragment)"
"450"	"B0UYL5"	"Novel protein (Zgc:153679)"
"451"	"B0UYN4"	"Novel protein (Zgc:162944)"
"452"	"B0UYN9"	"Crystallin, gamma M6"
"453"	"B0UYS4"	"Novel protein similar to vertebrate 2-deoxyribose-5-phosphate aldolase homolog (C. elegans) (DERA, zgc:101610)"
"454"	"B0V0J5"	"Novel protein similar to zona pellucida glycoprotein 2.2 (Zp2.2)"
"455"	"B0V0X1"	"Propionyl Coenzyme A carboxylase, beta polypeptide"
"456"	"B0V0Y4"	"Novel protein similar to vertebrate paralemmin (PALM, zgc:63523)"
"457"	"B0V191"	"Novel crystallin, gamma M2 family protein (Crygm, zgc:86723)"
"458"	"B0V1F9"	"Novel protein similar to carbonic anhydrase VIII (CA8, zgc:110118)"
"459"	"B0V1I0"	"Small nuclear ribonucleoprotein D3 polypeptide"
"460"	"B0V1J9"	"Novel protein similar to vertebrate glutathione S-transferase theta 1 (GSTT1, zgc:66350)"
"461"	"B0V1K1"	"Novel protein similart to vertebrate small inducible cytokine subfamily E, member 1 (Endothelial monocyte-activating) (SCYE1, zgc:154081)"
"462"	"B0V1L8"	"Novel protein similar to H.sapiens DPP9, dipeptidyl-peptidase 9 (DPP9, zgc:152900)"
"463"	"B0V234"	"Novel protein similar to vertebrate four and a half LIM domains 2 (FHL2, zgc:103466)"
"464"	"B0V3F8"	"Interferon-inducible double stranded RNA-dependent protein kinase activator A homolog"
"465"	"B0VEQ2"	"Tetraspanin 7b"
"466"	"B1H1J0"	"Zgc:172163 protein"
"467"	"B1H1J6"	"Dpys protein"
"468"	"B1H1M3"	"Prosc protein"
"469"	"B1PXA9"	"SULT1 ST8"
"470"	"B2CZB8"	"Plasma membrane calcium ATPase"
"471"	"B2CZC0"	"Plasma membrane calcium ATPase 3 isoform b"
"472"	"B2CZC1"	"Plasma membrane calcium ATPase 4"
"473"	"B2ZGJ1"	"Choline O-acetyltransferase"
"474"	"B3DFJ9"	"Si:ch211-125e6.12 protein"
"475"	"B3DFN3"	"Lamin B2"
"476"	"B3DFP2"	"UPF0723 protein C11orf83 homolog"
"477"	"B3DFP9"	"Uncharacterized protein"
"478"	"B3DFQ0"	"Similar to vertebrate MID1 interacting-like protein"
"479"	"B3DFQ1"	"Capns1b protein"
"480"	"B3DFU8"	"Similar to ATP-dependent RNA helicase DDX19B (DEAD box protein 19B) (DEAD box RNA helicase DEAD5)"
"481"	"B3DFV8"	"Coagulation factor C homolog, cochlin (Limulus polyphemus)"
"482"	"B3DGP8"	"Copa protein"
"483"	"B3DGZ4"	"Cttn protein"
"484"	"B3DH03"	"Mcam protein"
"485"	"B3DH85"	"NCAM"
"486"	"B3DHC5"	"Uncharacterized protein"
"487"	"B3DHD1"	"Transferrin receptor 1a"
"488"	"B3DHH0"	"Zgc:194249 protein"
"489"	"B3DHK5"	"Similar to retinol binding protein 7, cellular"
"490"	"B3DHU2"	"LOC100005403 protein"
"491"	"B3DI16"	"Gna11 protein"
"492"	"B3DI21"	"Uncharacterized protein"
"493"	"B3DI91"	"Si:ch211-160i2.3 protein"
"494"	"B3DIE8"	"Tripeptidyl peptidase I"
"495"	"B3DIT1"	"Zgc:194528 protein"
"496"	"B3DIV6"	"Dihydrolipoamide S-acetyltransferase (E2 component of pyruvate dehydrogenase complex)"
"497"	"B3DIW6"	"Novel epsin family protein"
"498"	"B3DIZ3"	"Zgc:171967 protein"
"499"	"B3DJ34"	"Similar to type II phosphatidylinositolphosphate kinase-alpha"
"500"	"B3DJA6"	"Zgc:194876"
"501"	"B3DJE6"	"Renbp protein"
"502"	"B3DJM6"	"Myosin, heavy polypeptide 1, skeletal muscle"
"503"	"B3DJP9"	"Myosin, heavy polypeptide 6, cardiac muscle, alpha"
"504"	"B3DJV3"	"Cytidine monophosphate N-acetylneuraminic acid synthetase"
"505"	"B3DK46"	"Laminin, alpha 4"
"506"	"B3DKC5"	"Lamin A"
"507"	"B3DKJ0"	"Chaperonin containing TCP1, subunit 7 (Eta)"
"508"	"B3DKJ1"	"Matn4 protein"
"509"	"B3DKL7"	"Cytosine-specific methyltransferase"
"510"	"B3DKM0"	"Aldehyde dehydrogenase 1 family, member A2"
"511"	"B3DKQ5"	"Reticulon 1a"
"512"	"B3DLJ9"	"Dsc2l protein"
"513"	"B3DLK0"	"Col2a1a protein"
"514"	"B4F6Q5"	"Wu:fc88b11 protein (Fragment)"
"515"	"B5DDE1"	"Zgc:55406 protein"
"516"	"B5DDF0"	"Putative uncharacterized protein"
"517"	"B5DDZ4"	"Acta1 protein"
"518"	"B5M4A7"	"BetaA1c-crystallin"
"519"	"B5WY30"	"FinTRIM family protein (Fragment)"
"520"	"B6CS38"	"Fibrillin 2"
"521"	"B6IDE0"	"Slow myosin heavy chain 3"
"522"	"B6IDE1"	"Slow myosin heavy chain 2"
"523"	"B7ZC77"	"Catenin alpha-2"
"524"	"B7ZD40"	"SAR1 gene homolog A (S. cerevisiae)"
"525"	"B7ZUU8"	"Si:ch211-129c21.6"
"526"	"B7ZUY8"	"Si:dkey-25f3.3"
"527"	"B7ZV06"	"Bc2 protein"
"528"	"B7ZV62"	"N-ethylmaleimide-sensitive factor"
"529"	"B7ZV69"	"Cystathionine-beta-synthase a"
"530"	"B7ZVC9"	"Mpp6 protein"
"531"	"B7ZVK0"	"Uncharacterized protein"
"532"	"B8A443"	"Oxysterol-binding protein"
"533"	"B8A467"	"Novel protein similar to vertebrate protein kinase C, epsilon (PRKCE)"
"534"	"B8A478"	"Novel protein similar to quinoid dihydropteridine reductase b2 (Qdprb2)"
"535"	"B8A4B0"	"Glutamate dehydrogenase 1a"
"536"	"B8A4D7"	"Novel protein similar to H.sapiens RRBP1, ribosome binding protein 1 homolog 180kDa (Dog) (RRBP1, zgc:171356)"
"537"	"B8A4G3"	"Protein phosphatase type 2C alpha 2 (Fragment)"
"538"	"B8A4H6"	"Phosphoglycerate mutase"
"539"	"B8A4Q2"	"Novel protein similar to vertebrate pyridoxal (Pyridoxine, vitamin B6) kinase (PDXK)"
"540"	"B8A518"	"Novel protein similar to vertebrate tuba1l, tubulin, alpha 1, like (Tuba1l)"
"541"	"B8A534"	"Novel protein similar to vertebrate neurofilament, medium polypeptide (NEFM) (Fragment)"
"542"	"B8A552"	"SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily a, member 5"
"543"	"B8A556"	"Deoxyribonucleoside 5'-monophosphate N-glycosidase"
"544"	"B8A569"	"Novel myosin family protein"
"545"	"B8A5D3"	"Novel protein similar to vertebrate asparaginyl-tRNA synthetase (NARS)"
"546"	"B8A5D4"	"Thioredoxin-like 1"
"547"	"B8A5D9"	"Novel protein similar to vertebrate phenazine biosynthesis-like protein domain containing (PBLD, zgc:112210)"
"548"	"B8A5E0"	"Novel protein (Zgc:113291)"
"549"	"B8A5G0"	"Novel protein similar to human KAT protein"
"550"	"B8A5I7"	"Novel protein similar to vertebrate single-stranded DNA binding protein 1 (SSBP1, zgc:110325)"
"551"	"B8A5K9"	"Novel protein similar to fibroblast growth factor receptor 4 (FGFR4, zgc:55326)"
"552"	"B8A5L1"	"Novel protein"
"553"	"B8A5L6"	"Fibrinogen alpha chain"
"554"	"B8A5M2"	"Novel protein containing a Lectin C-type domain"
"555"	"B8A5V6"	"PDZ and LIM domain 1 (Elfin)"
"556"	"B8A5Y9"	"Novel protein (Zgc:154142) (Fragment)"
"557"	"B8A615"	"Novel intermediate filament protein"
"558"	"B8A639"	"Novel protein"
"559"	"B8A668"	"Novel protein similar to vertebrate calponin, basic, smooth muscle family"
"560"	"B8A6G7"	"ATP synthase, H+ transporting, mitochondrial F0 complex, subunit s"
"561"	"B8JHR9"	"Novel protein similar to vertebrate importin 5 (IPO5)"
"562"	"B8JHW1"	"Legumain (Fragment)"
"563"	"B8JI00"	"Succinate-CoA ligase, GDP-forming, alpha subunit"
"564"	"B8JI08"	"Oxoglutarate (Alpha-ketoglutarate) dehydrogenase (Lipoamide)"
"565"	"B8JIC6"	"Homer homolog 1 (Drosophila)"
"566"	"B8JIS5"	"Glutathione S-transferase M3 (Brain)"
"567"	"B8JIS8"	"Glutathione S-transferase M"
"568"	"B8JIS9"	"Adenosine monophosphate deaminase 2 (Isoform L)"
"569"	"B8JK21"	"Caspase 3, apoptosis-related cysteine protease"
"570"	"B8JK90"	"Novel protein similar to vertebrate RAP1, GTP-GDP dissociation stimulator 1 (RAP1GDS1)"
"571"	"B8JKC0"	"Meprin A, beta"
"572"	"B8JKY9"	"Small nuclear ribonucleoprotein D1 polypeptide (Fragment)"
"573"	"B8JL29"	"High-mobility group box 2"
"574"	"B8JL43"	"Transferrin-a"
"575"	"B8JLC8"	"Novel protein similar to vertebrate RAB1A, member RAS oncogene family (RAB1A)"
"576"	"B8JLG4"	"Claudin 10 like"
"577"	"B8JLI1"	"MutS homolog 6 (E. coli)"
"578"	"B8JLK4"	"Delta-aminolevulinic acid dehydratase"
"579"	"B8JLK9"	"Novel protein"
"580"	"B8JLL1"	"Novel protein similar to vertebrate uridine monophosphate synthetase (UMPS, zgc:55702)"
"581"	"B8JLQ0"	"LYR motif-containing protein 4"
"582"	"B8JLQ9"	"Novel protein similar to vertebrate carboxypeptidase A3 (Mast cell) (CPA3)"
"583"	"B8JLR1"	"Programmed cell death 6 interacting protein"
"584"	"B8JLR6"	"Novel protein similar to G.gallus KBP, Kainate-binding protein (KBP)"
"585"	"B8JLS3"	"Myosin, heavy polypeptide 6, cardiac muscle, alpha"
"586"	"B8JM34"	"ATP synthase-coupling factor 6, mitochondrial"
"587"	"B8JM55"	"Glycoprotein, synaptic 2 (Fragment)"
"588"	"B8JM93"	"Novel TAP42-like family domain containing protein (Zgc:55347)"
"589"	"B8JMA8"	"Novel protein (Zgc:112490)"
"590"	"B8JMC1"	"Novel protein (Zgc:91854)"
"591"	"B8JMC4"	"Novel protein similar to vertebrate solute carrier family 25, member 13 (Citrin) (SLC25A13) (Fragment)"
"592"	"B8JMZ1"	"Novel protein similar to vertebrate UDP-glucose pyrophosphorylase 2 (UGP2)"
"593"	"B8LF84"	"Neuc.1"
"594"	"B9UZF4"	"Zwilling A"
"595"	"B9UZF5"	"Zwilling B"
"596"	"C0H5W1"	"Collagen type XXVIII alpha 1 c (Fragment)"
"597"	"C0L978"	"Neurofascin neuronal isoform"
"598"	"C1IHU9"	"Intelectin 3"
"599"	"C5NU62"	"Synapsin II"
"600"	"C7FGQ7"	"Cytosolic sulfotransferase"
"601"	"C7U128"	"Protein-tyrosine phosphatase LyPTP (Fragment)"
"602"	"D0EVX3"	"Neuroligin 4a"
"603"	"D1GJ54"	"Actn1 isoform c (Fragment)"
"604"	"D1GJ56"	"Actn3a"
"605"	"D2CFK7"	"Nexilin"
"606"	"D3KYL1"	"Gephyrin2"
"607"	"D3XD46"	"UDP-glucuronosyltransferase 1 family polypeptide a1 isoform 1"
"608"	"D3XD59"	"UDP glucuronosyltransferase 1 family polypeptide b1 short isoform"
"609"	"D3XD92"	"UDP glucuronosyltransferase 2 family polypeptide b6 isoform 1"
"610"	"D3XDA8"	"UDP glucuronosyltransferase 5 family polypeptide c2"
"611"	"D4P8S0"	"Synaptotagmin 7"
"612"	"D5FS19"	"FGD4"
"613"	"D6QWU5"	"Karyopherin beta 1 (Fragment)"
"614"	"D7RVR7"	"Excitatory amino acid transporter SLC1A2a"
"615"	"D7RVS0"	"Excitatory amino acid transporter SLC1A3b"
"616"	"E0CZJ3"	"FEEL-1"
"617"	"E1AZA4"	"Voltage-gated potassium channel Kv3.3a variant 1"
"618"	"E3NZ06"	"10-formyltetrahydrofolate dehydrogenase"
"619"	"E3P7J3"	"Plexin B2a"
"620"	"E4VNZ2"	"Dynamin 1"
"621"	"E7EXE4"	"Uncharacterized protein"
"622"	"E7EXF9"	"Uncharacterized protein"
"623"	"E7EXH3"	"Acylphosphatase"
"624"	"E7EXK6"	"Uncharacterized protein"
"625"	"E7EXM0"	"Uncharacterized protein"
"626"	"E7EXT3"	"Phosphorylase"
"627"	"E7EXW7"	"Uncharacterized protein"
"628"	"E7EXW8"	"Uncharacterized protein"
"629"	"E7EXW9"	"Uncharacterized protein"
"630"	"E7EXY4"	"Uncharacterized protein"
"631"	"E7EY13"	"Choline dehydrogenase"
"632"	"E7EY63"	"Uncharacterized protein"
"633"	"E7EY75"	"Uncharacterized protein"
"634"	"E7EYC0"	"Uncharacterized protein"
"635"	"E7EYC6"	"Uncharacterized protein"
"636"	"E7EYC9"	"Uncharacterized protein"
"637"	"E7EYD0"	"Uncharacterized protein"
"638"	"E7EYE1"	"Uncharacterized protein"
"639"	"E7EYE6"	"Uncharacterized protein"
"640"	"E7EYF3"	"Ubiquitin-activating enzyme E1"
"641"	"E7EYN3"	"Uncharacterized protein"
"642"	"E7EYQ0"	"Uncharacterized protein"
"643"	"E7EYT7"	"Uncharacterized protein"
"644"	"E7EYU4"	"Uncharacterized protein"
"645"	"E7EZ02"	"Uncharacterized protein"
"646"	"E7EZ05"	"Uncharacterized protein"
"647"	"E7EZ45"	"Uncharacterized protein"
"648"	"E7EZ62"	"Uncharacterized protein"
"649"	"E7EZ91"	"Uncharacterized protein"
"650"	"E7EZ94"	"Uncharacterized protein"
"651"	"E7EZA7"	"Uncharacterized protein"
"652"	"E7EZD3"	"Uncharacterized protein"
"653"	"E7EZE6"	"Uncharacterized protein"
"654"	"E7EZK9"	"Uncharacterized protein"
"655"	"E7EZR2"	"Uncharacterized protein"
"656"	"E7EZV4"	"Uncharacterized protein"
"657"	"E7F004"	"Uncharacterized protein"
"658"	"E7F012"	"Uncharacterized protein"
"659"	"E7F017"	"Uncharacterized protein"
"660"	"E7F022"	"Uncharacterized protein"
"661"	"E7F033"	"Uncharacterized protein"
"662"	"E7F071"	"Uncharacterized protein"
"663"	"E7F0A1"	"Uncharacterized protein"
"664"	"E7F0E2"	"Uncharacterized protein"
"665"	"E7F0F1"	"Uncharacterized protein"
"666"	"E7F0H0"	"Uncharacterized protein"
"667"	"E7F0I6"	"Uncharacterized protein"
"668"	"E7F0I8"	"Uncharacterized protein"
"669"	"E7F0K3"	"Uncharacterized protein"
"670"	"E7F0L7"	"Uncharacterized protein"
"671"	"E7F0P8"	"Uncharacterized protein"
"672"	"E7F0Q4"	"Uncharacterized protein"
"673"	"E7F0T7"	"Uncharacterized protein"
"674"	"E7F0U0"	"Uncharacterized protein"
"675"	"E7F0X5"	"Uncharacterized protein"
"676"	"E7F0X7"	"Uncharacterized protein"
"677"	"E7F0Y1"	"Uncharacterized protein"
"678"	"E7F0Y3"	"Uncharacterized protein"
"679"	"E7F114"	"Uncharacterized protein"
"680"	"E7F116"	"Uncharacterized protein"
"681"	"E7F123"	"Uncharacterized protein"
"682"	"E7F125"	"Uncharacterized protein"
"683"	"E7F169"	"Serine/threonine-protein phosphatase"
"684"	"E7F192"	"Uncharacterized protein"
"685"	"E7F1B4"	"Uncharacterized protein"
"686"	"E7F1E2"	"Uncharacterized protein"
"687"	"E7F1G8"	"Uncharacterized protein"
"688"	"E7F1H5"	"Uncharacterized protein"
"689"	"E7F1H8"	"Uncharacterized protein"
"690"	"E7F1J8"	"Uncharacterized protein"
"691"	"E7F1K1"	"Uncharacterized protein"
"692"	"E7F1L7"	"Uncharacterized protein"
"693"	"E7F1R1"	"Uncharacterized protein"
"694"	"E7F1Z3"	"Uncharacterized protein"
"695"	"E7F1Z8"	"Uncharacterized protein"
"696"	"E7F225"	"Uncharacterized protein"
"697"	"E7F244"	"Uncharacterized protein"
"698"	"E7F253"	"Uncharacterized protein"
"699"	"E7F290"	"Uncharacterized protein"
"700"	"E7F2B0"	"Uncharacterized protein"
"701"	"E7F2E3"	"Uncharacterized protein"
"702"	"E7F2E9"	"Uncharacterized protein"
"703"	"E7F2I3"	"Uncharacterized protein"
"704"	"E7F2J3"	"Uncharacterized protein"
"705"	"E7F2M5"	"Uncharacterized protein"
"706"	"E7F2Q6"	"Uncharacterized protein"
"707"	"E7F2R8"	"Uncharacterized protein"
"708"	"E7F2T3"	"Uncharacterized protein"
"709"	"E7F2U2"	"Uncharacterized protein"
"710"	"E7F2U7"	"Uncharacterized protein"
"711"	"E7F2X0"	"Uncharacterized protein"
"712"	"E7F2X5"	"Uncharacterized protein"
"713"	"E7F2Z5"	"Phosphorylase"
"714"	"E7F351"	"Uncharacterized protein"
"715"	"E7F354"	"Uncharacterized protein"
"716"	"E7F370"	"Uncharacterized protein"
"717"	"E7F3A5"	"Uncharacterized protein"
"718"	"E7F3D3"	"Uncharacterized protein"
"719"	"E7F3D4"	"Uncharacterized protein"
"720"	"E7F3G8"	"Uncharacterized protein"
"721"	"E7F3I8"	"Uncharacterized protein"
"722"	"E7F3J2"	"Uncharacterized protein"
"723"	"E7F3K7"	"Uncharacterized protein"
"724"	"E7F3N0"	"Uncharacterized protein"
"725"	"E7F3R2"	"Uncharacterized protein"
"726"	"E7F3U3"	"Uncharacterized protein"
"727"	"E7F420"	"Uncharacterized protein"
"728"	"E7F471"	"Uncharacterized protein"
"729"	"E7F476"	"Uncharacterized protein"
"730"	"E7F493"	"Uncharacterized protein"
"731"	"E7F4A4"	"Uncharacterized protein"
"732"	"E7F4G0"	"Uncharacterized protein"
"733"	"E7F4H4"	"Uncharacterized protein"
"734"	"E7F4I1"	"Uncharacterized protein"
"735"	"E7F4L5"	"Uncharacterized protein"
"736"	"E7F4Q9"	"Uncharacterized protein"
"737"	"E7F4T0"	"Uncharacterized protein"
"738"	"E7F569"	"Uncharacterized protein"
"739"	"E7F5A4"	"Uncharacterized protein"
"740"	"E7F5E2"	"Uncharacterized protein"
"741"	"E7F5F8"	"Uncharacterized protein"
"742"	"E7F5G8"	"Uncharacterized protein"
"743"	"E7F5Q2"	"Uncharacterized protein"
"744"	"E7F5R2"	"Uncharacterized protein"
"745"	"E7F5U9"	"Pyruvate kinase"
"746"	"E7F5X6"	"Uncharacterized protein"
"747"	"E7F619"	"Uncharacterized protein"
"748"	"E7F621"	"Uncharacterized protein"
"749"	"E7F624"	"Uncharacterized protein"
"750"	"E7F638"	"Uncharacterized protein"
"751"	"E7F650"	"Uncharacterized protein"
"752"	"E7F686"	"Uncharacterized protein"
"753"	"E7F696"	"Uncharacterized protein"
"754"	"E7F6D0"	"Uncharacterized protein"
"755"	"E7F6K0"	"Uncharacterized protein"
"756"	"E7F6K2"	"Uncharacterized protein"
"757"	"E7F6Q4"	"Uncharacterized protein"
"758"	"E7F6R9"	"Uncharacterized protein"
"759"	"E7F6S3"	"Uncharacterized protein"
"760"	"E7F6S5"	"Uncharacterized protein"
"761"	"E7F6X2"	"Uncharacterized protein"
"762"	"E7F6Z2"	"Uncharacterized protein"
"763"	"E7F6Z6"	"Uncharacterized protein"
"764"	"E7F6Z7"	"Uncharacterized protein"
"765"	"E7F6Z9"	"Uncharacterized protein"
"766"	"E7F708"	"Uncharacterized protein"
"767"	"E7F725"	"Uncharacterized protein"
"768"	"E7F794"	"Uncharacterized protein"
"769"	"E7F7D8"	"Uncharacterized protein"
"770"	"E7F7J1"	"Uncharacterized protein"
"771"	"E7F7K9"	"Uncharacterized protein"
"772"	"E7F7L4"	"Uncharacterized protein"
"773"	"E7F7L6"	"Serine/threonine-protein phosphatase"
"774"	"E7F7L8"	"Transporter"
"775"	"E7F7M1"	"Uncharacterized protein"
"776"	"E7F7X1"	"Uncharacterized protein"
"777"	"E7F881"	"Uncharacterized protein"
"778"	"E7F887"	"Uncharacterized protein"
"779"	"E7F8E0"	"Uncharacterized protein"
"780"	"E7F8F6"	"Uncharacterized protein"
"781"	"E7F8K3"	"Uncharacterized protein"
"782"	"E7F8M1"	"Uncharacterized protein"
"783"	"E7F8N6"	"Uncharacterized protein"
"784"	"E7F8Q4"	"Uncharacterized protein"
"785"	"E7F8R4"	"Uncharacterized protein"
"786"	"E7F8R9"	"Uncharacterized protein"
"787"	"E7F8S4"	"Uncharacterized protein"
"788"	"E7F8T4"	"Uncharacterized protein"
"789"	"E7F8T6"	"Uncharacterized protein"
"790"	"E7F8U4"	"Uncharacterized protein"
"791"	"E7F8X0"	"Uncharacterized protein"
"792"	"E7F8Z8"	"Uncharacterized protein"
"793"	"E7F905"	"Uncharacterized protein"
"794"	"E7F9A0"	"Uncharacterized protein"
"795"	"E7F9A2"	"Uncharacterized protein"
"796"	"E7F9D4"	"Microtubule-associated protein"
"797"	"E7F9E5"	"Uncharacterized protein"
"798"	"E7F9E8"	"Uncharacterized protein"
"799"	"E7F9F1"	"Uncharacterized protein"
"800"	"E7F9M6"	"Uncharacterized protein"
"801"	"E7F9N7"	"Uncharacterized protein"
"802"	"E7F9Q8"	"Uncharacterized protein"
"803"	"E7F9R1"	"Uncharacterized protein"
"804"	"E7F9X3"	"Uncharacterized protein"
"805"	"E7F9Y7"	"Uncharacterized protein"
"806"	"E7F9Z1"	"Uncharacterized protein"
"807"	"E7FA20"	"Uncharacterized protein"
"808"	"E7FA31"	"Uncharacterized protein"
"809"	"E7FA49"	"L-lactate dehydrogenase"
"810"	"E7FA56"	"Uncharacterized protein"
"811"	"E7FA67"	"Uncharacterized protein"
"812"	"E7FAC4"	"Uncharacterized protein"
"813"	"E7FAE7"	"Uncharacterized protein"
"814"	"E7FAM3"	"Uncharacterized protein"
"815"	"E7FAN5"	"Uncharacterized protein"
"816"	"E7FAS1"	"Uncharacterized protein"
"817"	"E7FAT3"	"Uncharacterized protein"
"818"	"E7FAT4"	"Microtubule-associated protein"
"819"	"E7FAU0"	"Uncharacterized protein"
"820"	"E7FAV6"	"Uncharacterized protein"
"821"	"E7FAW6"	"Uncharacterized protein"
"822"	"E7FAW9"	"Uncharacterized protein"
"823"	"E7FAZ5"	"Uncharacterized protein"
"824"	"E7FB51"	"Uncharacterized protein"
"825"	"E7FB58"	"Uncharacterized protein"
"826"	"E7FB99"	"Uncharacterized protein"
"827"	"E7FBA9"	"Uncharacterized protein"
"828"	"E7FBD3"	"Uncharacterized protein"
"829"	"E7FBD5"	"Uncharacterized protein"
"830"	"E7FBI2"	"Microtubule-associated protein"
"831"	"E7FBK1"	"Uncharacterized protein"
"832"	"E7FBQ2"	"Uncharacterized protein"
"833"	"E7FBT1"	"Uncharacterized protein"
"834"	"E7FBW8"	"Uncharacterized protein"
"835"	"E7FBX5"	"Uncharacterized protein"
"836"	"E7FBY2"	"Uncharacterized protein"
"837"	"E7FBZ3"	"Uncharacterized protein"
"838"	"E7FC16"	"Uncharacterized protein"
"839"	"E7FC32"	"Uncharacterized protein"
"840"	"E7FC38"	"Uncharacterized protein"
"841"	"E7FC73"	"Uncharacterized protein"
"842"	"E7FC77"	"Uncharacterized protein"
"843"	"E7FC78"	"Uncharacterized protein"
"844"	"E7FC79"	"Uncharacterized protein"
"845"	"E7FC92"	"Uncharacterized protein"
"846"	"E7FC95"	"Uncharacterized protein"
"847"	"E7FC99"	"Uncharacterized protein"
"848"	"E7FCA3"	"Uncharacterized protein"
"849"	"E7FCD8"	"Uncharacterized protein"
"850"	"E7FCH6"	"Uncharacterized protein"
"851"	"E7FCI8"	"Uncharacterized protein"
"852"	"E7FCN5"	"Integrin beta"
"853"	"E7FCP7"	"Uncharacterized protein"
"854"	"E7FCQ0"	"Uncharacterized protein"
"855"	"E7FCR8"	"Uncharacterized protein"
"856"	"E7FCS3"	"Uncharacterized protein"
"857"	"E7FCS4"	"Uncharacterized protein"
"858"	"E7FCT8"	"Uncharacterized protein"
"859"	"E7FCU0"	"Uncharacterized protein"
"860"	"E7FCV2"	"Uncharacterized protein"
"861"	"E7FCW1"	"Uncharacterized protein"
"862"	"E7FCW2"	"Uncharacterized protein"
"863"	"E7FCW3"	"Uncharacterized protein"
"864"	"E7FCY5"	"Uncharacterized protein"
"865"	"E7FCY6"	"Uncharacterized protein"
"866"	"E7FCZ2"	"Uncharacterized protein"
"867"	"E7FCZ6"	"Uncharacterized protein"
"868"	"E7FD18"	"Uncharacterized protein"
"869"	"E7FD19"	"Uncharacterized protein"
"870"	"E7FD23"	"Uncharacterized protein"
"871"	"E7FD50"	"Uncharacterized protein"
"872"	"E7FD66"	"Uncharacterized protein"
"873"	"E7FD91"	"Uncharacterized protein"
"874"	"E7FD95"	"Uncharacterized protein"
"875"	"E7FDA8"	"Uncharacterized protein"
"876"	"E7FDB9"	"Uncharacterized protein"
"877"	"E7FDF9"	"Malate synthase"
"878"	"E7FDK2"	"Uncharacterized protein"
"879"	"E7FDK5"	"Uncharacterized protein"
"880"	"E7FDM6"	"Uncharacterized protein"
"881"	"E7FDP2"	"Uncharacterized protein"
"882"	"E7FDP9"	"Uncharacterized protein"
"883"	"E7FDT3"	"Uncharacterized protein"
"884"	"E7FDX3"	"Uncharacterized protein"
"885"	"E7FDY7"	"Glucose-6-phosphate 1-dehydrogenase"
"886"	"E7FE03"	"Uncharacterized protein"
"887"	"E7FE06"	"Uncharacterized protein"
"888"	"E7FE20"	"Uncharacterized protein"
"889"	"E7FE49"	"Uncharacterized protein"
"890"	"E7FE69"	"Uncharacterized protein"
"891"	"E7FE78"	"Uncharacterized protein"
"892"	"E7FE82"	"Uncharacterized protein"
"893"	"E7FE90"	"Uncharacterized protein"
"894"	"E7FE91"	"Uncharacterized protein"
"895"	"E7FED8"	"Uncharacterized protein"
"896"	"E7FEE4"	"Uncharacterized protein"
"897"	"E7FEE9"	"Uncharacterized protein"
"898"	"E7FEH6"	"Uncharacterized protein"
"899"	"E7FEH9"	"Uncharacterized protein"
"900"	"E7FEI3"	"Uncharacterized protein"
"901"	"E7FEQ1"	"Uncharacterized protein"
"902"	"E7FES0"	"Uncharacterized protein"
"903"	"E7FEZ9"	"Uncharacterized protein"
"904"	"E7FF11"	"Uncharacterized protein"
"905"	"E7FF49"	"Uncharacterized protein"
"906"	"E7FF92"	"Uncharacterized protein"
"907"	"E7FFA5"	"Uncharacterized protein"
"908"	"E7FFB6"	"Uncharacterized protein"
"909"	"E7FFC4"	"Uncharacterized protein"
"910"	"E7FFD3"	"Uncharacterized protein"
"911"	"E7FFJ7"	"Uncharacterized protein"
"912"	"E7FFQ7"	"Uncharacterized protein"
"913"	"E7FFU0"	"Uncharacterized protein"
"914"	"E7FFW0"	"Uncharacterized protein"
"915"	"E7FFW9"	"Gig2-like protein DreL"
"916"	"E7FFZ3"	"Uncharacterized protein"
"917"	"E7FFZ4"	"Uncharacterized protein"
"918"	"E7FFZ6"	"Uncharacterized protein"
"919"	"E7FG54"	"Uncharacterized protein"
"920"	"E7FG81"	"Uncharacterized protein"
"921"	"E7FG98"	"Uncharacterized protein"
"922"	"E7FGA5"	"Uncharacterized protein"
"923"	"E7FGD0"	"Uncharacterized protein"
"924"	"E7FGD2"	"Uncharacterized protein"
"925"	"E7FGH5"	"Uncharacterized protein"
"926"	"E7FGK9"	"Uncharacterized protein"
"927"	"E7FGQ4"	"Uncharacterized protein"
"928"	"E7FGT2"	"Uncharacterized protein"
"929"	"E7FGY3"	"Uncharacterized protein"
"930"	"E7FH27"	"Uncharacterized protein"
"931"	"E7FH34"	"Uncharacterized protein"
